iter	MultiClass
0	0.6886582692
1	0.4798805873
2	0.3508181254
3	0.2643639882
4	0.2037931442
5	0.160101827
6	0.1279146353
7	0.1038019419
8	0.0854763031
9	0.0713643074
10	0.06036049128
11	0.05167600314
12	0.04474068483
13	0.03913858732
14	0.03456321557
15	0.0307865421
16	0.0276377519
17	0.02498744329
18	0.02273665667
19	0.02080914776
20	0.01914574305
21	0.01769982576
22	0.01643447578
23	0.01532011032
24	0.01433312297
25	0.01345424652
26	0.01266763608
27	0.01196032365
28	0.01132160326
29	0.01074241201
30	0.01021534204
31	0.009733979901
32	0.009292730689
33	0.008887192607
34	0.008513359229
35	0.008167796334
36	0.007847414414
37	0.007549925148
38	0.00727280875
39	0.007014312347
40	0.006772527099
41	0.006545986235
42	0.006333446999
43	0.006133617957
44	0.005945360164
45	0.005767808358
46	0.005600103736
47	0.005441376567
48	0.005291200678
49	0.005148586134
50	0.005013146003
51	0.004884408911
52	0.004761943221
53	0.004645153383
54	0.004533733428
55	0.004427356025
56	0.004325716197
57	0.004228419065
58	0.004135263711
59	0.004046055178
60	0.003960401068
61	0.003878226876
62	0.003799289465
63	0.003723390649
64	0.003650370737
65	0.003580078979
66	0.003512358665
67	0.003447043896
68	0.003384103874
69	0.003323295216
70	0.003264661878
71	0.00320796743
72	0.003153126438
73	0.003100148837
74	0.003048824271
75	0.002999085685
76	0.002950968842
77	0.002904354533
78	0.002859123548
79	0.002815239131
80	0.002772580832
81	0.002731304367
82	0.002691176782
83	0.002652195096
84	0.002614205082
85	0.00257727777
86	0.002541424334
87	0.002506476144
88	0.002472442389
89	0.002439353863
90	0.002407105764
91	0.002375722428
92	0.002345131338
93	0.002315210799
94	0.002286161979
95	0.002257667234
96	0.00223000596
97	0.002202934523
98	0.002176460127
99	0.002150618285
